#: table_doi: 10.17182/hepdata.48532.v1/t2,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' positive pions from the 2003-2004 data.. Errors are statistical only.,,,,,,,,,,,,
,,,,,,,,,,,,
#: data_file: Table2.yaml,,,,,,,,,,,,
#: keyword reactions: MU+ DEUT --> MU+ PI+ X,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,
#: RE,,,MU+ DEUT --> MU+ PI+ X,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,
hadron,proj,pT,pT lower,pT upper,Q^2,Q,y,x,z,SQRT(S) [GeV],Collins_asym,error
pi+,pT,0.1547,0.1,0.2,3.18,1.78325545,0.29,0.043,0.35,160,0.0214,0.0114
pi+,pT,0.2519,0.2,0.3,3.14,1.772004515,0.29,0.042,0.35,160,0,0.0095
pi+,pT,0.3496,0.3,0.4,3.14,1.772004515,0.3,0.041,0.35,160,-0.005,0.0092
pi+,pT,0.4482,0.4,0.5,3.23,1.797220076,0.31,0.041,0.35,160,-0.0028,0.0099
pi+,pT,0.5475,0.5,0.6,3.29,1.813835715,0.32,0.041,0.36,160,-0.0044,0.0114
pi+,pT,0.6681,0.6,0.75,3.36,1.833030278,0.33,0.04,0.37,160,-0.0044,0.0114
pi+,pT,0.817,0.75,0.9,3.46,1.860107524,0.34,0.04,0.39,160,0.0245,0.0157
pi+,pT,1.042,0.9,1.3,3.61,1.9,0.36,0.039,0.41,160,0.0256,0.0173
pi+,pT,1.549,1.3,10,4.08,2.019900988,0.43,0.038,0.43,160,-0.0456,0.0401
