#: table_doi: ,,,,,,,,,,,,,
#: name:,,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of PT for 'ALL' positive pions from the 2007-2010 data.. Errors are statistical only.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#: data_file: 20140313_std_pions.txt,,,,,,,,,,,,,
#: keyword reactions: MU+ P --> MU+ PI+ X,,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,,
#: RE,,,MU+ P  --> MU+ PI+ X,,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,,
hadron,proj,pT,pT lower,pT upper,Q^2,Q,y,x,z,SQRT(S) [GeV],W,Collins_asym,error
pi+,pT,0.15,0.1,0.2,3.54,1.881488772,0.28,0.043,0.35,160,8.57,-0.0097,0.0073
pi+,pT,0.25,0.2,0.3,3.49,1.868154169,0.28,0.042,0.34,160,8.61,-0.0088,0.006
pi+,pT,0.35,0.3,0.4,3.44,1.854723699,0.29,0.041,0.34,160,8.73,-0.0156,0.0057
pi+,pT,0.45,0.4,0.5,3.52,1.876166304,0.29,0.041,0.34,160,8.85,-0.0118,0.006
pi+,pT,0.55,0.5,0.6,3.58,1.892088793,0.3,0.041,0.35,160,8.96,-0.0127,0.0068
pi+,pT,0.67,0.6,0.75,3.67,1.915724406,0.31,0.04,0.36,160,9.08,-0.0133,0.0068
pi+,pT,0.82,0.75,0.9,3.79,1.946792233,0.32,0.04,0.38,160,9.23,-0.0103,0.0091
pi+,pT,1.04,0.9,1.3,4.01,2.002498439,0.34,0.039,0.4,160,9.5,0.0014,0.0097
pi+,pT,1.56,1.3,10,4.69,2.165640783,0.39,0.038,0.41,160,10.28,-0.0114,0.0212
