"#   HERMES Collaboration, A. Airapetian et al., JHEP12(2020)010  ",,,,,,,,,,,,,,,,
"#  A_UT^sin(phi+phis)/e SFA SSA in 3D bins of x, z, Pt",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
particle,x_lower,x_upper,z_lower,z_upper,pT_lower,pT_upper,Q^2,Q,x,y,z,pT,e,Collins_asym,stat_u,syst_u
K+,0.138,0.6,0.37,0.49,0.36,0.54,4.91,2.2159,0.21,0.458,0.426,0.439,0.812,0.075704,0.071965,0.006523
K+,0.138,0.6,0.37,0.49,0.54,2,5.023,2.2412,0.204,0.483,0.428,0.707,0.784,-0.023253,0.095933,0.010413
K+,0.138,0.6,0.49,0.7,0,0.23,4.546,2.1321,0.204,0.426,0.576,0.149,0.843,-0.000969,0.065417,0.009839
K+,0.138,0.6,0.49,0.7,0.23,0.36,4.517,2.1253,0.206,0.422,0.577,0.296,0.844,0.109395,0.065909,0.000125
K+,0.138,0.6,0.49,0.7,0.36,0.54,4.628,2.1513,0.207,0.435,0.583,0.443,0.831,0.176348,0.062508,0.002217
K+,0.138,0.6,0.49,0.7,0.54,2,5.056,2.2486,0.21,0.473,0.589,0.731,0.796,0.204339,0.071024,0.015485
K-,0.023,0.072,0.2,0.28,0,0.23,1.478,1.2157,0.051,0.575,0.236,0.152,0.692,-0.109144,0.175392,0.019038
K-,0.023,0.072,0.2,0.28,0.23,0.36,1.513,1.23,0.047,0.646,0.236,0.298,0.601,-0.193449,0.097294,0.010901
K-,0.023,0.072,0.2,0.28,0.36,0.54,1.54,1.241,0.045,0.684,0.237,0.444,0.547,0.078508,0.071507,0.000559
K-,0.023,0.072,0.2,0.28,0.54,2,1.61,1.2689,0.043,0.744,0.242,0.666,0.461,-0.106644,0.10601,0.001641
K-,0.023,0.072,0.28,0.37,0,0.23,1.447,1.2029,0.053,0.537,0.319,0.151,0.738,-0.29388,0.145818,0.001104
K-,0.023,0.072,0.28,0.37,0.23,0.36,1.501,1.2252,0.049,0.608,0.32,0.296,0.65,0.037292,0.237917,0.032839
K-,0.023,0.072,0.28,0.37,0.36,0.54,1.513,1.23,0.047,0.644,0.319,0.449,0.602,0.055519,0.091011,0.01475
K-,0.023,0.072,0.28,0.37,0.54,2,1.561,1.2494,0.044,0.701,0.324,0.724,0.523,0.111004,0.080753,0.000194
K-,0.023,0.072,0.37,0.49,0,0.23,1.403,1.1845,0.054,0.513,0.424,0.146,0.768,-0.117796,0.156242,0.019464
K-,0.023,0.072,0.37,0.49,0.23,0.36,1.478,1.2157,0.051,0.579,0.422,0.298,0.689,0.069569,0.258575,0.014724
K-,0.023,0.072,0.37,0.49,0.36,0.54,1.526,1.2353,0.049,0.622,0.423,0.448,0.633,0.273808,0.167443,0.000768
K-,0.023,0.072,0.37,0.49,0.54,2,1.54,1.241,0.045,0.674,0.425,0.77,0.562,-0.087697,0.082064,0.003948
K-,0.023,0.072,0.49,0.7,0,0.23,1.414,1.1891,0.055,0.508,0.562,0.151,0.771,-0.297084,0.176325,0.007536
K-,0.023,0.072,0.49,0.7,0.23,0.36,1.443,1.2012,0.052,0.55,0.566,0.298,0.721,0.073466,0.233024,0.009858
K-,0.023,0.072,0.49,0.7,0.36,0.54,1.49,1.2207,0.05,0.595,0.572,0.446,0.664,-0.273778,0.28412,0.002542
K-,0.023,0.072,0.49,0.7,0.54,2,1.535,1.239,0.046,0.662,0.569,0.799,0.578,0.145795,0.110027,0.011089
K-,0.072,0.098,0.2,0.28,0,0.23,2.181,1.4768,0.084,0.503,0.239,0.139,0.775,-0.018279,0.160932,0.016416
K-,0.072,0.098,0.2,0.28,0.23,0.36,2.455,1.5668,0.084,0.568,0.237,0.294,0.701,0.148435,0.171166,0.026135
K-,0.072,0.098,0.2,0.28,0.36,0.54,2.538,1.5931,0.084,0.586,0.237,0.44,0.677,0.154219,0.127669,0.003809
K-,0.072,0.098,0.2,0.28,0.54,2,2.751,1.6586,0.084,0.637,0.242,0.648,0.614,0.0047,0.243592,0.015602
K-,0.072,0.098,0.28,0.37,0,0.23,1.951,1.3968,0.084,0.448,0.323,0.138,0.824,0.119454,0.12053,0.005556
K-,0.072,0.098,0.28,0.37,0.23,0.36,2.238,1.496,0.084,0.518,0.322,0.292,0.752,0.156025,0.264444,0.0286
K-,0.072,0.098,0.28,0.37,0.36,0.54,2.397,1.5482,0.084,0.555,0.321,0.444,0.712,-0.003485,0.138993,0.016107
K-,0.072,0.098,0.28,0.37,0.54,2,2.478,1.5742,0.084,0.573,0.324,0.693,0.689,-0.306968,0.164697,0.006425
K-,0.072,0.098,0.37,0.49,0,0.23,1.844,1.3579,0.084,0.426,0.424,0.143,0.842,0.063327,0.127252,0.002478
K-,0.072,0.098,0.37,0.49,0.23,0.36,2.059,1.4349,0.084,0.475,0.424,0.294,0.794,0.367003,0.198098,0.004849
K-,0.072,0.098,0.37,0.49,0.36,0.54,2.27,1.5067,0.083,0.528,0.424,0.443,0.743,0.267242,0.224777,0.015106
K-,0.072,0.098,0.37,0.49,0.54,2,2.452,1.5659,0.084,0.566,0.423,0.727,0.695,-0.056141,0.140205,0.007372
K-,0.072,0.098,0.49,0.7,0,0.23,1.888,1.374,0.085,0.431,0.567,0.15,0.837,-0.022116,0.161508,0.020823
K-,0.072,0.098,0.49,0.7,0.23,0.36,2.003,1.4153,0.085,0.455,0.57,0.295,0.811,0.309494,0.173809,0.004588
K-,0.072,0.098,0.49,0.7,0.36,0.54,2.159,1.4694,0.084,0.495,0.577,0.44,0.775,0.393351,0.245791,0.038384
K-,0.072,0.098,0.49,0.7,0.54,2,2.416,1.5543,0.084,0.556,0.57,0.772,0.707,-0.080053,0.157016,0.019771
K-,0.098,0.138,0.2,0.28,0,0.23,3.018,1.7372,0.116,0.505,0.24,0.138,0.774,-0.083761,0.132264,0.006616
K-,0.098,0.138,0.2,0.28,0.23,0.36,3.264,1.8067,0.115,0.549,0.241,0.29,0.727,-0.235388,0.212498,0.028813
K-,0.098,0.138,0.2,0.28,0.36,0.54,3.304,1.8177,0.115,0.556,0.238,0.444,0.713,0.127022,0.154815,0.011787
K-,0.098,0.138,0.2,0.28,0.54,2,3.608,1.8995,0.115,0.607,0.243,0.649,0.655,0.34325,0.307004,0.052348
K-,0.098,0.138,0.28,0.37,0,0.23,2.692,1.6407,0.116,0.45,0.323,0.142,0.819,-0.050054,0.114731,0.000256
K-,0.098,0.138,0.28,0.37,0.23,0.36,2.984,1.7274,0.116,0.501,0.322,0.294,0.769,0.241989,0.207581,0.002991
K-,0.098,0.138,0.28,0.37,0.36,0.54,3.056,1.7481,0.115,0.516,0.324,0.45,0.75,-0.074329,0.15118,0.003387
K-,0.098,0.138,0.28,0.37,0.54,2,3.341,1.8278,0.116,0.559,0.324,0.694,0.703,-0.14103,0.178788,0.015002
K-,0.098,0.138,0.37,0.49,0,0.23,2.424,1.5569,0.115,0.408,0.423,0.149,0.854,-0.218467,0.117479,0.014326
K-,0.098,0.138,0.37,0.49,0.23,0.36,2.693,1.641,0.117,0.447,0.427,0.293,0.819,0.290078,0.162166,0.008779
K-,0.098,0.138,0.37,0.49,0.36,0.54,2.941,1.7149,0.116,0.491,0.428,0.442,0.778,0.039716,0.204536,0.036533
K-,0.098,0.138,0.37,0.49,0.54,2,3.193,1.7869,0.114,0.54,0.424,0.741,0.723,0.156392,0.148682,0.001653
K-,0.098,0.138,0.49,0.7,0,0.23,2.433,1.5598,0.115,0.407,0.563,0.149,0.854,-0.030968,0.153694,0.000949
K-,0.098,0.138,0.49,0.7,0.23,0.36,2.469,1.5713,0.115,0.416,0.572,0.295,0.848,0.071715,0.161523,0.004123
K-,0.098,0.138,0.49,0.7,0.36,0.54,2.717,1.6483,0.116,0.453,0.577,0.435,0.813,-0.100701,0.179311,0.009221
K-,0.098,0.138,0.49,0.7,0.54,2,3.078,1.7544,0.115,0.517,0.574,0.764,0.75,-0.002181,0.190502,0.007732
K-,0.138,0.6,0.2,0.28,0,0.23,4.976,2.2307,0.201,0.481,0.241,0.144,0.8,0.02335,0.091186,0.004522
K-,0.138,0.6,0.2,0.28,0.23,0.36,5.298,2.3017,0.206,0.507,0.241,0.29,0.77,-0.034155,0.145472,0.003445
K-,0.138,0.6,0.2,0.28,0.36,0.54,5.317,2.3059,0.204,0.518,0.239,0.449,0.757,0.309388,0.165842,0.029568
K-,0.138,0.6,0.2,0.28,0.54,2,5.439,2.3322,0.205,0.527,0.245,0.663,0.747,0.375295,0.39288,0.102797
K-,0.138,0.6,0.28,0.37,0,0.23,4.708,2.1698,0.203,0.451,0.322,0.146,0.822,0.082428,0.094044,0.01674
K-,0.138,0.6,0.28,0.37,0.23,0.36,4.918,2.2177,0.209,0.462,0.325,0.291,0.809,0.21707,0.119381,0.02317
K-,0.138,0.6,0.28,0.37,0.36,0.54,4.901,2.2138,0.205,0.473,0.325,0.441,0.795,-0.272372,0.143165,0.036994
K-,0.138,0.6,0.28,0.37,0.54,2,5.068,2.2512,0.2,0.503,0.324,0.691,0.765,0.00053,0.209193,0.082977
K-,0.138,0.6,0.37,0.49,0,0.23,4.35,2.0857,0.195,0.43,0.42,0.149,0.839,0.013899,0.117961,0.000924
K-,0.138,0.6,0.37,0.49,0.23,0.36,4.489,2.1187,0.205,0.422,0.423,0.293,0.843,-0.169984,0.126236,0.003895
K-,0.138,0.6,0.37,0.49,0.36,0.54,4.75,2.1794,0.207,0.45,0.426,0.437,0.817,0.035521,0.132953,0.003641
K-,0.138,0.6,0.37,0.49,0.54,2,4.868,2.2064,0.203,0.474,0.425,0.728,0.792,-0.123101,0.171929,0.0438
K-,0.138,0.6,0.49,0.7,0,0.23,4.392,2.0957,0.196,0.432,0.562,0.154,0.839,-0.149305,0.142563,0.021044
K-,0.138,0.6,0.49,0.7,0.23,0.36,4.353,2.0864,0.201,0.419,0.571,0.294,0.846,0.288378,0.163398,0.016135
K-,0.138,0.6,0.49,0.7,0.36,0.54,4.56,2.1354,0.207,0.429,0.577,0.44,0.838,-0.104521,0.138045,0.011258
K-,0.138,0.6,0.49,0.7,0.54,2,4.851,2.2025,0.204,0.47,0.579,0.735,0.796,0.042448,0.157695,0.029219
prot,0.023,0.073,0.2,0.34,0,0.24,1.604,1.2665,0.048,0.656,0.281,0.167,0.598,0.124268,0.207001,0.017177
prot,0.023,0.073,0.2,0.34,0.24,0.4,1.612,1.2696,0.045,0.698,0.274,0.327,0.535,-0.049043,0.097889,0.009771
prot,0.023,0.073,0.2,0.34,0.4,0.57,1.604,1.2665,0.044,0.713,0.271,0.483,0.512,0.00029,0.061514,0.003029
prot,0.023,0.073,0.2,0.34,0.57,2,1.601,1.2653,0.043,0.734,0.276,0.728,0.48,0.034252,0.060814,0.014198
prot,0.023,0.073,0.34,0.43,0,0.24,1.479,1.2161,0.053,0.544,0.384,0.157,0.736,-0.047721,0.12206,0.005655
prot,0.023,0.073,0.34,0.43,0.24,0.4,1.511,1.2292,0.05,0.603,0.384,0.322,0.659,0.244061,0.201259,0.008944
prot,0.023,0.073,0.34,0.43,0.4,0.57,1.543,1.2422,0.049,0.632,0.383,0.483,0.62,0.048129,0.098308,0.010929
prot,0.023,0.073,0.34,0.43,0.57,2,1.544,1.2426,0.046,0.669,0.384,0.766,0.568,-0.087831,0.0626,0.008289
prot,0.023,0.073,0.43,0.52,0,0.24,1.43,1.1958,0.056,0.503,0.473,0.159,0.777,-0.035251,0.118986,0.034282
prot,0.023,0.073,0.43,0.52,0.24,0.4,1.467,1.2112,0.052,0.567,0.471,0.322,0.699,-0.25226,0.204047,0.001608
prot,0.023,0.073,0.43,0.52,0.4,0.57,1.503,1.226,0.05,0.597,0.472,0.481,0.663,0.038336,0.174909,0.02628
prot,0.023,0.073,0.43,0.52,0.57,2,1.518,1.2321,0.047,0.641,0.471,0.796,0.604,-0.033075,0.077363,0.005245
prot,0.023,0.073,0.52,0.7,0,0.24,1.404,1.1849,0.057,0.487,0.588,0.153,0.795,-0.105326,0.131509,0.000452
prot,0.023,0.073,0.52,0.7,0.24,0.4,1.448,1.2033,0.055,0.527,0.587,0.321,0.747,-0.327799,0.190702,0.007061
prot,0.023,0.073,0.52,0.7,0.4,0.57,1.46,1.2083,0.052,0.561,0.589,0.482,0.707,0.355565,0.223683,0.009581
prot,0.023,0.073,0.52,0.7,0.57,2,1.502,1.2256,0.049,0.607,0.591,0.808,0.649,0.147207,0.084968,0.014787
prot,0.073,0.107,0.2,0.34,0,0.24,2.828,1.6817,0.089,0.617,0.293,0.158,0.653,-0.20521,0.191626,0.022467
prot,0.073,0.107,0.2,0.34,0.24,0.4,2.913,1.7068,0.088,0.638,0.285,0.321,0.624,0.020735,0.189694,0.025525
prot,0.073,0.107,0.2,0.34,0.4,0.57,3.012,1.7355,0.088,0.661,0.279,0.481,0.592,0.009033,0.11543,0.01426
prot,0.073,0.107,0.2,0.34,0.57,2,3.028,1.7401,0.088,0.666,0.282,0.718,0.584,-0.084441,0.115265,0.028658
prot,0.073,0.107,0.34,0.43,0,0.24,2.34,1.5297,0.089,0.509,0.385,0.148,0.775,-0.002252,0.098231,0.021552
prot,0.073,0.107,0.34,0.43,0.24,0.4,2.49,1.578,0.088,0.545,0.385,0.317,0.732,0.090677,0.173428,0.022985
prot,0.073,0.107,0.34,0.43,0.4,0.57,2.528,1.59,0.088,0.558,0.385,0.48,0.717,-0.114824,0.135584,0.031662
prot,0.073,0.107,0.34,0.43,0.57,2,2.634,1.623,0.088,0.575,0.385,0.744,0.694,0.140092,0.099901,0.016817
prot,0.073,0.107,0.43,0.52,0,0.24,2.096,1.4478,0.089,0.458,0.473,0.155,0.817,-0.069837,0.093989,0.018684
prot,0.073,0.107,0.43,0.52,0.24,0.4,2.22,1.49,0.088,0.485,0.473,0.319,0.789,0.203899,0.129635,0.028391
prot,0.073,0.107,0.43,0.52,0.4,0.57,2.339,1.5294,0.088,0.515,0.474,0.477,0.759,-0.064308,0.172198,0.055701
prot,0.073,0.107,0.43,0.52,0.57,2,2.454,1.5665,0.088,0.538,0.472,0.773,0.731,-0.163218,0.106027,0.014416
prot,0.073,0.107,0.52,0.7,0,0.24,1.893,1.3759,0.089,0.41,0.592,0.156,0.856,-0.014655,0.090245,0.004501
prot,0.073,0.107,0.52,0.7,0.24,0.4,1.954,1.3979,0.089,0.427,0.593,0.32,0.839,-0.123116,0.097028,0.00401
prot,0.073,0.107,0.52,0.7,0.4,0.57,2.053,1.4328,0.088,0.45,0.594,0.481,0.817,-0.03189,0.153566,0.005642
prot,0.073,0.107,0.52,0.7,0.57,2,2.243,1.4977,0.088,0.494,0.598,0.781,0.772,0.165738,0.10456,0.01317
prot,0.107,0.157,0.2,0.34,0,0.24,3.97,1.9925,0.128,0.6,0.295,0.156,0.677,-0.298815,0.160646,0.018101
prot,0.107,0.157,0.2,0.34,0.24,0.4,4.131,2.0325,0.129,0.622,0.288,0.321,0.648,-0.350406,0.195087,0.010644
prot,0.107,0.157,0.2,0.34,0.4,0.57,4.272,2.0669,0.128,0.644,0.283,0.481,0.617,-0.036419,0.13348,0.000575
prot,0.107,0.157,0.2,0.34,0.57,2,4.244,2.0601,0.127,0.646,0.288,0.719,0.613,-0.114969,0.164175,0.023501
prot,0.107,0.157,0.34,0.43,0,0.24,3.379,1.8382,0.13,0.504,0.387,0.152,0.78,-0.27401,0.091749,0.004145
prot,0.107,0.157,0.34,0.43,0.24,0.4,3.478,1.8649,0.129,0.523,0.388,0.316,0.759,0.028693,0.129275,0.049543
prot,0.107,0.157,0.34,0.43,0.4,0.57,3.685,1.9196,0.128,0.555,0.386,0.477,0.722,0.024135,0.147409,0.010535
prot,0.107,0.157,0.34,0.43,0.57,2,3.705,1.9248,0.127,0.563,0.385,0.754,0.712,0.181587,0.139862,0.014412
prot,0.107,0.157,0.43,0.52,0,0.24,3.058,1.7487,0.129,0.457,0.474,0.156,0.82,0.080553,0.085383,0.013403
prot,0.107,0.157,0.43,0.52,0.24,0.4,3.14,1.772,0.13,0.469,0.475,0.317,0.807,-0.095795,0.101266,0.013331
prot,0.107,0.157,0.43,0.52,0.4,0.57,3.286,1.8127,0.129,0.492,0.472,0.478,0.784,-0.17882,0.152114,0.008805
prot,0.107,0.157,0.43,0.52,0.57,2,3.452,1.858,0.128,0.524,0.473,0.771,0.747,-0.072017,0.130082,0.012103
prot,0.107,0.157,0.52,0.7,0,0.24,2.75,1.6583,0.129,0.413,0.594,0.154,0.852,-0.045241,0.085868,0.00346
prot,0.107,0.157,0.52,0.7,0.24,0.4,2.771,1.6646,0.129,0.415,0.594,0.32,0.848,0.058546,0.084518,0.013309
prot,0.107,0.157,0.52,0.7,0.4,0.57,2.846,1.687,0.13,0.425,0.602,0.479,0.84,0.030365,0.114833,0.009307
prot,0.107,0.157,0.52,0.7,0.57,2,3.172,1.781,0.129,0.476,0.602,0.769,0.788,-0.113014,0.110734,0.017137
prot,0.157,0.6,0.2,0.34,0,0.24,6.647,2.5782,0.229,0.566,0.301,0.155,0.717,0.058968,0.11632,0.030745
prot,0.157,0.6,0.2,0.34,0.24,0.4,6.49,2.5475,0.219,0.579,0.298,0.317,0.703,-0.086275,0.15254,0.026955
prot,0.157,0.6,0.2,0.34,0.4,0.57,6.541,2.5575,0.211,0.608,0.29,0.476,0.664,-0.340832,0.170717,0.000539
prot,0.157,0.6,0.2,0.34,0.57,2,6.594,2.5679,0.216,0.597,0.292,0.719,0.678,0.052353,0.251468,0.012192
prot,0.157,0.6,0.34,0.43,0,0.24,5.837,2.416,0.231,0.492,0.386,0.154,0.793,-0.01178,0.075714,0.007372
prot,0.157,0.6,0.34,0.43,0.24,0.4,5.958,2.4409,0.233,0.499,0.387,0.315,0.786,-0.065714,0.086862,0.024197
prot,0.157,0.6,0.34,0.43,0.4,0.57,5.97,2.4434,0.23,0.509,0.389,0.473,0.774,-0.054856,0.126659,0.009066
prot,0.157,0.6,0.34,0.43,0.57,2,6.104,2.4706,0.235,0.511,0.386,0.764,0.771,-0.139488,0.178564,0.050009
prot,0.157,0.6,0.43,0.52,0,0.24,5.223,2.2854,0.228,0.444,0.474,0.153,0.833,-0.023324,0.075823,0.021162
prot,0.157,0.6,0.43,0.52,0.24,0.4,5.384,2.3203,0.234,0.45,0.473,0.316,0.826,-0.003886,0.079208,0.040812
prot,0.157,0.6,0.43,0.52,0.4,0.57,5.475,2.3399,0.234,0.458,0.476,0.476,0.818,0.038597,0.111636,0.04195
prot,0.157,0.6,0.43,0.52,0.57,2,5.603,2.3671,0.237,0.467,0.476,0.756,0.805,-0.025973,0.158869,0.039574
prot,0.157,0.6,0.52,0.7,0,0.24,4.947,2.2242,0.223,0.426,0.593,0.156,0.844,-0.181942,0.078536,0.010041
prot,0.157,0.6,0.52,0.7,0.24,0.4,4.886,2.2104,0.229,0.411,0.594,0.319,0.855,-0.033496,0.08035,4.70E-05
prot,0.157,0.6,0.52,0.7,0.4,0.57,4.877,2.2084,0.231,0.411,0.599,0.479,0.853,-0.157226,0.095029,0.012871
prot,0.157,0.6,0.52,0.7,0.57,2,5.074,2.2526,0.233,0.427,0.604,0.749,0.837,-0.104407,0.121585,0.028935
